threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.89,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.9,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.91,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.92,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.93,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.94,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.95,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.96,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.97,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.98,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.99,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
