threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.86,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.87,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.88,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.89,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.9,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.91,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.92,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.93,51,0,56887,24,1.0,0.68,0.809524,0.824447,1.0,1318.5,0.0,1318.5
0.94,13,0,56887,62,1.0,0.173333,0.295455,0.416107,1.0,3368.7,0.0,3368.7
0.95,13,0,56887,62,1.0,0.173333,0.295455,0.416107,1.0,3368.7,0.0,3368.7
0.96,13,0,56887,62,1.0,0.173333,0.295455,0.416107,1.0,3368.7,0.0,3368.7
0.97,13,0,56887,62,1.0,0.173333,0.295455,0.416107,1.0,3368.7,0.0,3368.7
0.98,13,0,56887,62,1.0,0.173333,0.295455,0.416107,1.0,3368.7,0.0,3368.7
0.99,13,0,56887,62,1.0,0.173333,0.295455,0.416107,1.0,3368.7,0.0,3368.7
