threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.83,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.84,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.85,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.86,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.87,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.88,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.89,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.9,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.91,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.92,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.93,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.94,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.95,40,0,56887,35,1.0,0.533333,0.695652,0.730072,1.0,1905.69,0.0,1905.69
0.96,17,0,56887,58,1.0,0.226667,0.369565,0.475853,1.0,3155.0,0.0,3155.0
0.97,17,0,56887,58,1.0,0.226667,0.369565,0.475853,1.0,3155.0,0.0,3155.0
0.98,17,0,56887,58,1.0,0.226667,0.369565,0.475853,1.0,3155.0,0.0,3155.0
0.99,3,0,56887,72,1.0,0.04,0.076923,0.199874,1.0,3897.67,0.0,3897.67
